"Desease";"Año";"Resultado";"Funcion donde se obtuve el resultado";"Mensaje"
"Accidente Ofídico";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2009";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2009 : 399  rows, 4  columns"
"Accidente Ofídico";"2010";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2010 : 414  rows, 4  columns"
"Accidente Ofídico";"2011";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2011 : 437  rows, 4  columns"
"Accidente Ofídico";"2012";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2012 : 417  rows, 4  columns"
"Accidente Ofídico";"2013";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2013 : 417  rows, 4  columns"
"Accidente Ofídico";"2014";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2014 : 417  rows, 4  columns"
"Accidente Ofídico";"2015";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2015 : 417  rows, 4  columns"
"Accidente Ofídico";"2016";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2016 : 410  rows, 4  columns"
"Accidente Ofídico";"2017";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2017 : 413  rows, 4  columns"
"Accidente Ofídico";"2018";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2018 : 421  rows, 4  columns"
"Accidente Ofídico";"2019";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2019 : 421  rows, 4  columns"
"Accidente Ofídico";"2020";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2020 : 421  rows, 4  columns"
"Accidente Ofídico";"2021";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2021 : 421  rows, 4  columns"
"Accidente Ofídico";"2022";"Success";"agrupar_fecha_inisintomas";"Success Accidente Ofídico 2022 : 411  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2009";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2010";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2011";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2012";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2012 : 1208  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2013";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2013 : 1208  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2014";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2014 : 1208  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2015";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2015 : 2512  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2016";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2016 : 2512  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2017";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2017 : 2512  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2018";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2018 : 2512  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2019";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2019 : 2512  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2020";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2020 : 2512  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2021";"Success";"agrupar_fecha_inisintomas";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2021 : 381  rows, 4  columns"
