"Desease";"Año";"Dpto";"Mpio";"Resultado";"Mensaje"
"Accidente Ofídico";"2007";"";"";"Error";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2008";"";"";"Error";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2009";"ANTIOQUIA";"";"Success";"Success:  552  rows, 72  columns"
"Accidente Ofídico";"2009";"ATLANTICO";"";"Success";"Success:  82  rows, 72  columns"
"Accidente Ofídico";"2009";"BOGOTA";"";"Success";"Success:  6  rows, 72  columns"
"Accidente Ofídico";"2009";"BOLIVAR";"";"Success";"Success:  211  rows, 72  columns"
"Accidente Ofídico";"2009";"BOYACA";"";"Success";"Success:  62  rows, 72  columns"
"Accidente Ofídico";"2009";"CAUCA";"";"Success";"Success:  105  rows, 72  columns"
"Accidente Ofídico";"2009";"CALDAS";"";"Success";"Success:  69  rows, 72  columns"
"Accidente Ofídico";"2009";"CAQUETA";"";"Success";"Success:  92  rows, 72  columns"
"Accidente Ofídico";"2009";"CESAR";"";"Success";"Success:  98  rows, 72  columns"
"Accidente Ofídico";"2009";"CORDOBA";"";"Success";"Success:  149  rows, 72  columns"
"Accidente Ofídico";"2009";"CUNDINAMARCA";"";"Success";"Success:  35  rows, 72  columns"
"Accidente Ofídico";"2009";"CHOCO";"";"Success";"Success:  93  rows, 72  columns"
"Accidente Ofídico";"2009";"HUILA";"";"Success";"Success:  107  rows, 72  columns"
"Accidente Ofídico";"2009";"LA GUAJIRA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2009";"MAGDALENA";"";"Success";"Success:  104  rows, 72  columns"
"Accidente Ofídico";"2009";"META";"";"Success";"Success:  208  rows, 72  columns"
"Accidente Ofídico";"2009";"NARIÑO";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2009";"NORTE DE SANTANDER";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2009";"QUINDIO";"";"Success";"Success:  17  rows, 72  columns"
"Accidente Ofídico";"2009";"RISARALDA";"";"Success";"Success:  40  rows, 72  columns"
"Accidente Ofídico";"2009";"SANTANDER";"";"Success";"Success:  180  rows, 72  columns"
"Accidente Ofídico";"2009";"SUCRE";"";"Success";"Success:  69  rows, 72  columns"
"Accidente Ofídico";"2009";"TOLIMA";"";"Success";"Success:  64  rows, 72  columns"
"Accidente Ofídico";"2009";"VALLE DEL CAUCA";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2009";"ARAUCA";"";"Success";"Success:  143  rows, 72  columns"
"Accidente Ofídico";"2009";"CASANARE";"";"Success";"Success:  126  rows, 72  columns"
"Accidente Ofídico";"2009";"PUTUMAYO";"";"Success";"Success:  96  rows, 72  columns"
"Accidente Ofídico";"2009";"SAN ANDRES";"";"Error";"El departamento o municipio ingresado no existe"
"Accidente Ofídico";"2009";"AMAZONAS";"";"Success";"Success:  73  rows, 72  columns"
"Accidente Ofídico";"2009";"GUAINIA";"";"Success";"Success:  10  rows, 72  columns"
"Accidente Ofídico";"2009";"GUAVIARE";"";"Success";"Success:  73  rows, 72  columns"
"Accidente Ofídico";"2009";"VAUPES";"";"Success";"Success:  52  rows, 72  columns"
"Accidente Ofídico";"2009";"VICHADA";"";"Success";"Success:  24  rows, 72  columns"
"Accidente Ofídico";"2010";"ANTIOQUIA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"ATLANTICO";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"BOGOTA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"BOLIVAR";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
"Accidente Ofídico";"2010";"BOYACA";"";"Warning";"Unknown or uninitialised column: `cod_eve`."
