"Desease";"Año";"Resultado";"Funcion donde se obtuve el resultado";"Mensaje"
"Accidente Ofídico";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2009";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2009 : 520  rows, 4  columns"
"Accidente Ofídico";"2010";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2010 : 542  rows, 4  columns"
"Accidente Ofídico";"2011";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2011 : 574  rows, 4  columns"
"Accidente Ofídico";"2012";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2012 : 820  rows, 4  columns"
"Accidente Ofídico";"2013";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2013 : 820  rows, 4  columns"
"Accidente Ofídico";"2014";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2014 : 820  rows, 4  columns"
"Accidente Ofídico";"2015";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2015 : 820  rows, 4  columns"
"Accidente Ofídico";"2016";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2016 : 856  rows, 4  columns"
"Accidente Ofídico";"2017";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2017 : 860  rows, 4  columns"
"Accidente Ofídico";"2018";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2018 : 865  rows, 4  columns"
"Accidente Ofídico";"2019";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2019 : 865  rows, 4  columns"
"Accidente Ofídico";"2020";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2020 : 865  rows, 4  columns"
"Accidente Ofídico";"2021";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2021 : 865  rows, 4  columns"
"Accidente Ofídico";"2022";"Success";"agrupar_fecha_notifica";"Success Accidente Ofídico 2022 : 846  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2009";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2010";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2011";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2012";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2012 : 1943  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2013";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2013 : 1943  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2014";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2014 : 1943  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2015";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2015 : 363  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2016";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2016 : 363  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2017";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2017 : 363  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2018";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2018 : 363  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2019";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2019 : 363  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2020";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2020 : 363  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2021";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2021 : 2817  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2022";"Success";"agrupar_fecha_notifica";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2022 : 2817  rows, 4  columns"
