"Desease";"Año";"Resultado";"Funcion donde se obtuve el resultado";"Mensaje"
"Accidente Ofídico";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2009";"Success";"agrupar_sex";"Success Accidente Ofídico 2009 : 2  rows, 4  columns"
"Accidente Ofídico";"2010";"Success";"agrupar_sex";"Success Accidente Ofídico 2010 : 2  rows, 4  columns"
"Accidente Ofídico";"2011";"Success";"agrupar_sex";"Success Accidente Ofídico 2011 : 3  rows, 4  columns"
"Accidente Ofídico";"2012";"Success";"agrupar_sex";"Success Accidente Ofídico 2012 : 3  rows, 4  columns"
"Accidente Ofídico";"2013";"Success";"agrupar_sex";"Success Accidente Ofídico 2013 : 3  rows, 4  columns"
"Accidente Ofídico";"2014";"Success";"agrupar_sex";"Success Accidente Ofídico 2014 : 3  rows, 4  columns"
"Accidente Ofídico";"2015";"Success";"agrupar_sex";"Success Accidente Ofídico 2015 : 3  rows, 4  columns"
"Accidente Ofídico";"2016";"Success";"agrupar_sex";"Success Accidente Ofídico 2016 : 3  rows, 4  columns"
"Accidente Ofídico";"2017";"Success";"agrupar_sex";"Success Accidente Ofídico 2017 : 2  rows, 4  columns"
"Accidente Ofídico";"2018";"Success";"agrupar_sex";"Success Accidente Ofídico 2018 : 2  rows, 4  columns"
"Accidente Ofídico";"2019";"Success";"agrupar_sex";"Success Accidente Ofídico 2019 : 2  rows, 4  columns"
"Accidente Ofídico";"2020";"Success";"agrupar_sex";"Success Accidente Ofídico 2020 : 2  rows, 4  columns"
"Accidente Ofídico";"2021";"Success";"agrupar_sex";"Success Accidente Ofídico 2021 : 2  rows, 4  columns"
"Accidente Ofídico";"2022";"Success";"agrupar_sex";"Success Accidente Ofídico 2022 : 2  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2009";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2010";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2011";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2012";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2012 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2013";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2013 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2014";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2014 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2015";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2015 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2016";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2016 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2017";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2017 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2018";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2018 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2019";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2019 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2020";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2020 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2021";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2021 : 3  rows, 4  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2022";"Success";"agrupar_sex";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2022 : 3  rows, 4  columns"
"Anomalías Congénitas";"2010";"Success";"agrupar_sex";"Success Anomalías Congénitas 2010 : 2  rows, 4  columns"
"Anomalías Congénitas";"2011";"Success";"agrupar_sex";"Success Anomalías Congénitas 2011 : 2  rows, 4  columns"
