"Desease";"Año";"Resultado";"Mensaje"
"Accidente Ofídico";"2009";"Success";"Success Accidente Ofídico 2009 : 104  rows, 5  columns"
"Accidente Ofídico";"2010";"Success";"Success Accidente Ofídico 2010 : 104  rows, 5  columns"
"Accidente Ofídico";"2011";"Success";"Success Accidente Ofídico 2011 : 105  rows, 5  columns"
"Accidente Ofídico";"2012";"Success";"Success Accidente Ofídico 2012 : 105  rows, 5  columns"
"Accidente Ofídico";"2013";"Success";"Success Accidente Ofídico 2013 : 105  rows, 5  columns"
"Accidente Ofídico";"2014";"Success";"Success Accidente Ofídico 2014 : 105  rows, 5  columns"
"Accidente Ofídico";"2015";"Success";"Success Accidente Ofídico 2015 : 105  rows, 5  columns"
"Accidente Ofídico";"2016";"Success";"Success Accidente Ofídico 2016 : 105  rows, 5  columns"
"Accidente Ofídico";"2017";"Success";"Success Accidente Ofídico 2017 : 104  rows, 5  columns"
"Accidente Ofídico";"2018";"Success";"Success Accidente Ofídico 2018 : 104  rows, 5  columns"
"Accidente Ofídico";"2019";"Success";"Success Accidente Ofídico 2019 : 104  rows, 5  columns"
"Accidente Ofídico";"2020";"Success";"Success Accidente Ofídico 2020 : 104  rows, 5  columns"
"Accidente Ofídico";"2021";"Success";"Success Accidente Ofídico 2021 : 104  rows, 5  columns"
"Accidente Ofídico";"2022";"Success";"Success Accidente Ofídico 2022 : 104  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2012";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2012 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2013";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2013 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2014";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2014 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2015";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2015 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2016";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2016 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2017";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2017 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2018";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2018 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2019";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2019 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2020";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2020 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2021";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2021 : 105  rows, 5  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2022";"Success";"Success Agresiones Por Animales Potencialmente Transmisores De Rabia 2022 : 105  rows, 5  columns"
"Anomalías Congénitas";"2010";"Success";"Success Anomalías Congénitas 2010 : 78  rows, 5  columns"
"Anomalías Congénitas";"2011";"Success";"Success Anomalías Congénitas 2011 : 104  rows, 5  columns"
"Anomalías Congénitas";"2012";"Success";"Success Anomalías Congénitas 2012 : 107  rows, 5  columns"
"Anomalías Congénitas";"2013";"Success";"Success Anomalías Congénitas 2013 : 121  rows, 5  columns"
"Anomalías Congénitas";"2014";"Success";"Success Anomalías Congénitas 2014 : 121  rows, 5  columns"
"Anomalías Congénitas";"2015";"Success";"Success Anomalías Congénitas 2015 : 147  rows, 5  columns"
"Anomalías Congénitas";"2016";"Success";"Success Anomalías Congénitas 2016 : 151  rows, 5  columns"
"Anomalías Congénitas";"2017";"Success";"Success Anomalías Congénitas 2017 : 148  rows, 5  columns"
"Anomalías Congénitas";"2018";"Success";"Success Anomalías Congénitas 2018 : 153  rows, 5  columns"
"Anomalías Congénitas";"2019";"Success";"Success Anomalías Congénitas 2019 : 153  rows, 5  columns"
"Anomalías Congénitas";"2020";"Success";"Success Anomalías Congénitas 2020 : 152  rows, 5  columns"
"Anomalías Congénitas";"2021";"Success";"Success Anomalías Congénitas 2021 : 153  rows, 5  columns"
"Anomalías Congénitas";"2022";"Success";"Success Anomalías Congénitas 2022 : 157  rows, 5  columns"
"Bajo Peso Al Nacer";"2012";"Success";"Success Bajo Peso Al Nacer 2012 : 11  rows, 5  columns"
"Bajo Peso Al Nacer";"2013";"Success";"Success Bajo Peso Al Nacer 2013 : 11  rows, 5  columns"
"Bajo Peso Al Nacer";"2014";"Success";"Success Bajo Peso Al Nacer 2014 : 11  rows, 5  columns"
"Bajo Peso Al Nacer";"2015";"Success";"Success Bajo Peso Al Nacer 2015 : 28  rows, 5  columns"
"Bajo Peso Al Nacer";"2016";"Success";"Success Bajo Peso Al Nacer 2016 : 28  rows, 5  columns"
"Bajo Peso Al Nacer";"2017";"Success";"Success Bajo Peso Al Nacer 2017 : 28  rows, 5  columns"
"Bajo Peso Al Nacer";"2018";"Success";"Success Bajo Peso Al Nacer 2018 : 28  rows, 5  columns"
"Bajo Peso Al Nacer";"2019";"Success";"Success Bajo Peso Al Nacer 2019 : 28  rows, 5  columns"
