"Desease";"Año";"Resultado";"Funcion donde se obtuve el resultado";"Mensaje"
"Accidente Ofídico";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Accidente Ofídico";"2009";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2009 : 20  rows, 3  columns"
"Accidente Ofídico";"2010";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2011";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2012";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2013";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2014";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2015";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2016";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Accidente Ofídico";"2017";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2017 : 20  rows, 3  columns"
"Accidente Ofídico";"2018";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2018 : 20  rows, 3  columns"
"Accidente Ofídico";"2019";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2019 : 20  rows, 3  columns"
"Accidente Ofídico";"2020";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2020 : 20  rows, 3  columns"
"Accidente Ofídico";"2021";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2021 : 20  rows, 3  columns"
"Accidente Ofídico";"2022";"Success";"agrupar_edad_sex";"Success Accidente Ofídico 2022 : 19  rows, 3  columns"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2007";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2008";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2009";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2010";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2011";"Error";"limpiar_data_sivigila";"El parametro data_event no debe estar vacio"
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2012";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2013";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2014";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2015";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2016";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2017";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2018";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2019";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2020";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2021";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
"Agresiones Por Animales Potencialmente Transmisores De Rabia";"2022";"Error";"agrupar_edad_sex";"In argument: `ranges = cut(data_event[[nomb_col]], seq(min_val, max_val, paso))`."
