"Desease";"Año";"Resultado";"Mensaje"
"Hepatitis A";2007;"Error";"Error import_data_event with  Hepatitis A 2007 [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";2008;"Error";"Error import_data_event with  Hepatitis A 2008 [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";2009;"Error";"Error import_data_event with  Hepatitis A 2009 [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";2011;"Error";"Error import_data_event with  Hepatitis A 2011 [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";2012;"Error";"Error import_data_event with  Hepatitis A 2012 [1m[33mError[39m in `httr2::req_perform()`:[22m
[33m![39m HTTP 404 Not Found.
"
"Hepatitis A";2014;"Success";"Success Hepatitis A 2014 : 2001  rows, 4  columns"
"Hepatitis A";2015;"Success";"Success Hepatitis A 2015 : 1853  rows, 4  columns"
"Hepatitis A";2016;"Success";"Success Hepatitis A 2016 : 1738  rows, 4  columns"
"Hepatitis A";2017;"Success";"Success Hepatitis A 2017 : 2174  rows, 4  columns"
"Hepatitis A";2018;"Success";"Success Hepatitis A 2018 : 2462  rows, 4  columns"
"Hepatitis A";2019;"Success";"Success Hepatitis A 2019 : 2353  rows, 4  columns"
"Hepatitis A";2020;"Success";"Success Hepatitis A 2020 : 1898  rows, 4  columns"
"Hepatitis A";2021;"Success";"Success Hepatitis A 2021 : 2228  rows, 4  columns"
"Hepatitis A";2022;"Success";"Success Hepatitis A 2022 : 2691  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2009;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2009 : 1  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2010;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2010 : 1080  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2011;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2011 : 1096  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2012;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2012 : 1154  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2013;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2013 : 1189  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2014;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2014 : 1177  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2015;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2015 : 1102  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2016;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2016 : 959  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2017;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2017 : 1095  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2018;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2018 : 1153  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2019;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2019 : 1033  rows, 4  columns"
"Hepatitis B, C Y Coinfección Hepatitis B Y Delta";2020;"Success";"Success Hepatitis B, C Y Coinfección Hepatitis B Y Delta 2020 : 784  rows, 4  columns"
